elapsed_s,memory_mb,cpu_pct,thermal,battery_pct,event
0.21,79.4,37.7,1,100.0,app_appear
0.21,79.5,37.7,1,100.0,
1.22,842.9,101.1,1,100.0,
2.22,869.3,95.0,1,100.0,
3.23,803.7,93.5,1,100.0,
4.23,1432.3,109.0,1,100.0,
5.23,1449.9,103.2,1,100.0,
6.28,1518.2,147.6,1,100.0,
7.33,1804.8,132.6,1,100.0,
8.33,1829.1,233.1,1,100.0,
9.34,2029.2,162.3,1,100.0,
10.36,2047.7,6.9,1,100.0,
11.38,2050.1,2.7,1,100.0,
12.39,1331.9,52.3,1,100.0,
13.41,1345.3,32.1,1,100.0,
14.53,1347.8,42.6,1,100.0,
15.53,1350.0,59.8,1,100.0,
16.55,1352.2,68.6,1,100.0,
17.59,1356.1,17.8,1,100.0,
18.60,1356.1,0.3,1,100.0,
19.62,1356.1,0.2,1,100.0,
20.65,1354.8,17.8,1,100.0,
21.65,1354.6,11.5,1,100.0,
22.66,1354.5,15.8,1,100.0,
23.70,1354.5,4.3,1,100.0,
24.72,1354.5,1.4,1,100.0,
25.74,1354.5,14.7,1,100.0,
26.74,1353.2,14.9,1,100.0,
27.75,1353.2,4.6,1,100.0,
28.81,1353.2,0.1,1,100.0,
29.89,1362.7,7.8,1,100.0,
30.93,1358.3,4.4,1,100.0,
31.93,1358.2,12.6,1,100.0,
32.95,1358.2,8.3,1,100.0,
33.95,1352.2,4.1,1,100.0,
34.96,1353.2,1.7,1,100.0,
35.98,1355.1,23.5,1,100.0,
36.98,1487.6,49.8,1,100.0,
37.99,1494.0,62.2,1,100.0,
39.04,1510.0,80.8,1,100.0,
40.09,1520.7,135.3,1,100.0,
41.10,1525.8,78.4,1,100.0,
42.10,1525.9,1.3,1,100.0,
43.11,1525.9,2.5,1,100.0,
44.11,1526.1,40.2,1,100.0,
45.14,1527.5,38.9,1,100.0,
46.15,1529.3,33.1,1,100.0,
47.15,1531.3,71.3,1,100.0,
48.22,1532.7,48.9,1,100.0,
49.25,1533.8,40.4,1,100.0,
50.27,1535.5,25.4,1,100.0,
51.33,1535.5,0.4,1,100.0,
52.40,1535.5,0.1,1,100.0,
53.40,1535.4,1.2,1,100.0,
54.43,1529.0,26.5,1,100.0,
55.47,1530.0,49.1,1,100.0,
56.52,1530.7,141.0,1,100.0,
57.57,1531.9,119.6,1,100.0,
58.63,1539.1,95.0,1,100.0,
59.64,1560.8,86.1,1,100.0,
60.70,1560.8,0.7,1,100.0,
61.73,1560.8,2.9,1,100.0,
62.75,1562.2,60.3,1,100.0,
63.76,1563.7,22.8,1,100.0,
64.78,1563.7,2.6,1,100.0,
65.83,1563.2,0.1,1,100.0,
66.85,1563.2,0.2,1,100.0,
67.85,1562.9,0.7,1,100.0,
68.85,1562.8,0.6,1,100.0,
69.86,1560.7,27.7,1,100.0,
70.87,1560.8,77.8,1,100.0,
71.88,1564.4,45.2,1,100.0,
72.90,1568.4,80.1,1,100.0,
73.93,1569.4,46.9,1,100.0,
74.98,1569.4,1.5,1,100.0,
76.03,1569.4,7.4,1,100.0,
77.06,1570.4,49.9,1,100.0,
78.07,1571.4,75.8,1,100.0,
79.12,1571.9,111.4,1,100.0,
80.13,1571.7,126.3,1,100.0,
81.14,1573.0,117.5,1,100.0,
82.15,1574.6,178.5,1,100.0,
83.21,1574.8,33.2,1,100.0,
84.25,1574.5,69.9,1,100.0,
85.30,1574.4,68.2,1,100.0,
86.32,1574.5,123.4,1,100.0,
87.32,1575.4,126.9,1,100.0,
88.33,1576.4,60.8,1,100.0,
89.40,1576.4,39.3,1,100.0,
90.40,1576.4,38.6,1,100.0,
91.45,1575.6,42.3,1,100.0,
92.45,1575.3,40.6,1,100.0,
93.48,1575.2,35.0,1,100.0,
94.51,1575.2,1.4,1,100.0,
95.52,1574.3,0.1,1,100.0,
96.56,1574.5,31.5,1,100.0,
97.61,1574.5,39.0,1,100.0,
98.68,1574.5,65.1,1,100.0,
99.69,1574.6,74.6,1,100.0,
100.71,1575.0,116.2,1,100.0,
101.72,1575.5,72.9,1,100.0,
102.73,1575.7,162.8,1,100.0,
103.75,1576.3,4.8,1,100.0,
104.75,1576.3,0.1,1,100.0,
105.79,1576.3,34.5,1,100.0,
106.85,1577.1,1.8,1,100.0,
107.89,1577.1,0.1,1,100.0,
108.90,1576.5,33.4,1,100.0,
109.93,1576.6,97.6,1,100.0,
110.95,1576.5,100.9,1,100.0,
111.97,1576.7,113.7,1,100.0,
112.97,1576.7,126.7,1,100.0,
114.01,1576.6,55.4,1,100.0,
115.07,1577.1,97.7,1,100.0,
116.12,1577.1,1.4,1,100.0,
117.12,1577.1,2.3,1,100.0,
118.13,1577.6,52.4,1,100.0,
119.13,1581.4,42.5,1,100.0,
120.18,1583.9,63.2,1,100.0,
121.18,1584.5,137.2,1,100.0,
122.21,1584.5,44.9,1,100.0,
123.22,1586.0,86.7,1,100.0,
124.23,1586.9,75.4,1,100.0,
125.23,1588.6,70.0,1,100.0,
126.23,1587.6,28.1,1,100.0,
127.23,1589.3,40.6,1,100.0,
128.24,1582.4,55.6,1,100.0,
129.25,1583.5,33.4,1,100.0,
130.26,1583.7,62.9,1,100.0,
131.26,1583.7,73.5,1,100.0,
132.28,1583.9,105.5,1,100.0,
133.29,1585.0,182.5,1,100.0,
134.30,1585.6,87.7,1,100.0,
135.31,1585.6,89.2,1,100.0,
136.35,1587.8,89.5,1,100.0,
137.40,1588.3,61.5,1,100.0,
138.41,1586.3,84.9,1,100.0,
139.43,1588.2,63.3,1,100.0,
140.45,1588.5,111.9,1,100.0,
141.45,1587.8,65.9,1,100.0,
142.51,1587.8,37.4,1,100.0,
143.53,1587.8,35.0,1,100.0,
144.59,1587.8,34.7,1,100.0,
145.63,1587.6,23.3,1,100.0,
146.65,1586.5,6.4,1,100.0,
147.66,1586.5,2.2,1,100.0,
148.68,1586.7,23.6,1,100.0,
149.75,1587.3,34.4,1,100.0,
150.77,1587.4,61.5,1,100.0,
151.78,1587.4,94.1,1,100.0,
152.79,1587.4,78.8,1,100.0,
153.80,1587.5,89.6,1,100.0,
154.80,1587.5,110.8,1,100.0,
155.80,1587.9,18.6,1,100.0,
156.84,1587.9,0.1,1,100.0,
157.85,1587.9,6.1,1,100.0,
158.89,1588.2,51.3,1,100.0,
159.96,1590.3,25.5,1,100.0,
160.98,1590.0,7.7,1,100.0,
162.02,1590.0,0.1,1,100.0,
163.06,1589.9,0.1,1,100.0,
164.08,1589.5,11.3,1,100.0,
165.10,1589.6,2.3,1,100.0,
166.12,1588.3,0.1,1,100.0,
167.15,1588.2,8.3,1,100.0,
168.20,1588.3,2.3,1,100.0,
169.22,1588.0,19.6,1,100.0,
170.22,1588.1,55.5,1,100.0,
171.23,1588.2,88.7,1,100.0,
172.23,1588.2,129.3,1,100.0,
173.25,1588.5,8.0,1,100.0,
174.30,1588.5,0.8,1,100.0,
175.30,1589.3,55.8,1,100.0,
176.31,1590.8,42.9,1,100.0,
177.37,1591.3,4.3,1,100.0,
178.41,1591.3,0.2,1,100.0,
179.41,1591.3,0.1,1,100.0,
180.42,1591.2,1.6,1,100.0,
181.48,1591.0,2.4,1,100.0,
182.49,1590.8,0.1,1,100.0,
183.52,1589.5,0.1,1,100.0,
184.58,1589.5,0.1,1,100.0,
185.61,1589.5,0.1,1,100.0,
186.62,1589.5,2.5,1,100.0,
187.63,1589.3,3.7,1,100.0,
188.67,1588.5,0.1,1,100.0,
189.70,1588.8,22.1,1,100.0,
190.75,1588.9,76.2,1,100.0,
191.79,1588.9,136.5,1,100.0,
192.79,1589.4,10.8,1,100.0,
193.86,1589.6,3.1,1,100.0,
194.92,1589.8,12.1,1,100.0,
195.93,1590.1,68.9,1,100.0,
196.96,1591.5,119.4,1,100.0,
197.98,1591.8,53.7,1,100.0,
198.98,1593.4,92.3,1,100.0,
199.98,1594.2,65.7,1,100.0,
200.99,1595.5,78.6,1,100.0,
202.00,1592.0,73.4,1,100.0,
203.03,1591.8,163.3,1,100.0,
204.05,1593.4,231.7,1,100.0,
205.11,1593.4,289.5,1,100.0,
206.14,1595.1,255.6,1,100.0,
207.16,1595.4,332.3,1,100.0,
208.17,1601.0,269.7,1,100.0,
209.17,1627.1,200.6,1,100.0,
210.17,1635.0,248.7,1,100.0,
211.18,1635.9,238.2,1,100.0,
212.18,1644.7,310.9,1,100.0,
213.19,1644.8,180.6,1,100.0,
214.22,1644.8,96.8,1,100.0,
215.25,1650.8,136.2,1,100.0,
216.27,1645.7,30.1,1,100.0,
217.28,1645.7,45.9,1,100.0,
218.29,1646.1,53.7,1,100.0,
219.30,1646.7,160.4,1,100.0,
220.37,1645.4,155.8,1,100.0,
221.40,1647.0,121.3,1,100.0,
222.41,1647.8,111.0,1,100.0,
223.41,1649.2,110.2,1,100.0,
224.43,1648.9,88.0,1,100.0,
225.47,1650.0,44.4,1,100.0,
226.47,1650.0,41.3,1,100.0,
227.52,1646.0,4.3,1,100.0,
228.54,1284.9,16.1,2,100.0,
229.56,1284.8,44.3,2,100.0,
230.58,1285.1,85.8,2,100.0,
231.59,1284.6,93.9,2,100.0,
232.59,1284.8,32.5,2,100.0,
233.59,1221.7,22.3,2,100.0,
234.66,1530.9,68.9,2,100.0,
235.68,1532.3,33.3,2,100.0,
236.70,1532.1,53.5,2,100.0,
237.71,1531.6,30.1,2,100.0,
238.72,1531.5,97.7,2,100.0,
239.73,1538.1,103.4,2,100.0,
240.76,1538.1,23.7,2,100.0,
241.80,1538.1,24.6,2,100.0,
242.80,1538.6,87.0,2,100.0,
243.83,1539.4,123.2,2,100.0,
244.86,1540.2,120.5,2,100.0,
245.93,1541.1,77.2,2,100.0,
246.96,1541.1,50.1,2,100.0,
248.03,1540.3,52.0,2,100.0,
249.04,1538.8,35.4,2,100.0,
250.04,1538.6,37.7,2,100.0,
251.08,1538.7,44.0,2,100.0,
252.09,1538.8,79.4,2,100.0,
253.11,1538.8,167.6,2,100.0,
254.13,1538.8,129.0,2,100.0,
255.16,1538.9,66.7,2,100.0,
256.19,1539.5,40.7,2,100.0,
257.19,1539.5,11.3,2,100.0,
258.24,1539.0,22.1,2,100.0,
259.24,1539.1,77.5,2,100.0,
260.24,1539.6,132.5,2,100.0,
261.25,1539.7,21.6,2,100.0,
262.27,1539.8,35.0,2,100.0,
263.33,1539.4,44.4,2,100.0,
264.35,1539.3,29.9,2,100.0,
265.41,1539.4,57.4,2,100.0,
266.47,1539.6,78.1,2,100.0,
267.53,1539.6,48.3,2,100.0,
268.59,1539.5,52.4,2,100.0,
269.63,1539.9,82.6,2,100.0,
270.63,1540.5,147.5,2,100.0,
271.64,1541.0,148.8,2,100.0,
272.65,1541.5,123.5,2,100.0,
273.71,1542.5,147.0,2,100.0,
274.73,1543.5,123.3,2,100.0,
275.75,1543.2,128.6,2,100.0,
276.75,1543.1,43.0,2,100.0,
277.75,1543.1,46.4,2,100.0,
278.76,1543.1,48.3,2,100.0,
279.83,1543.0,48.8,2,100.0,
280.85,1541.9,3.5,2,100.0,
281.86,1541.9,0.1,2,100.0,
282.91,1541.9,0.1,2,100.0,
283.91,1542.3,10.1,2,100.0,
284.95,1542.0,13.0,2,100.0,
285.96,1540.9,15.0,2,100.0,
286.98,1540.9,2.6,2,100.0,
287.98,1540.9,0.1,2,100.0,
289.01,1540.9,0.1,2,100.0,
290.02,1540.1,0.1,2,100.0,
291.09,1540.2,0.2,2,100.0,
292.10,1561.2,0.9,2,100.0,
293.10,1561.2,1.3,2,100.0,
294.11,1307.4,22.3,2,100.0,
295.14,1307.4,7.0,2,100.0,
296.16,1316.1,9.8,2,100.0,
297.21,1316.1,0.9,2,100.0,
298.24,1316.3,4.2,2,100.0,
299.25,1316.3,0.1,2,100.0,
300.25,1316.3,0.0,2,100.0,
301.28,1316.3,0.0,2,100.0,
302.28,1316.3,0.0,2,100.0,
303.35,1316.2,0.0,2,100.0,
304.41,1316.1,0.0,2,100.0,
305.42,1316.1,0.0,2,100.0,
